id	gender	role	language_english	duration_in_days	publications	organic_tweets	follower_global	followees_global	follower_researcher	follower_researcher_phd	follower_researcher_prof	follower_researcher_male	follower_researcher_female	follower_researcher_male_phd	follower_researcher_male_prof	follower_researcher_female_phd	follower_researcher_female_prof	follower_reciprocal_researcher	follower_reciprocal_researcher_phd	follower_reciprocal_researcher_prof	follower_reciprocal_researcher_male	follower_reciprocal_researcher_female	follower_reciprocal_researcher_male_phd	follower_reciprocal_researcher_male_prof	follower_reciprocal_researcher_female_phd	follower_reciprocal_researcher_female_prof	633	NA	NA	1	2728	24	277	92876	1056	844	151	98	402	159	54	50	30	18	75	6	18	36	18	1	8	2	6
808627	male	NA	1	2495	1	586	74175	553	201	19	17	124	21	10	11	3	1	16	0	0	12	3	0	0	0	0
808824	male	phd	1	2495	11	1009	2358	1177	26	8	1	10	10	1	0	6	0	23	8	1	8	10	1	0	6	0
811883	NA	phd	1	2493	3	276	176	244	13	2	0	5	0	1	0	0	0	6	1	0	3	0	1	0	0	0
813188	male	NA	1	2493	10	389	723	242	9	3	1	6	0	1	1	0	0	1	0	0	1	0	0	0	0	0
815903	male	NA	1	2492	76	54	346	25	79	16	12	41	8	7	4	1	2	5	0	0	3	1	0	0	0	0
816824	NA	NA	1	2491	7	3	53	58	6	0	0	0	2	0	0	0	0	6	0	0	0	2	0	0	0	0
817141	male	NA	1	2491	5	94	4284	667	34	0	0	25	2	0	0	0	0	17	0	0	14	1	0	0	0	0
817382	NA	NA	1	2491	23	109	711	772	50	15	7	17	5	6	3	1	0	37	8	7	13	5	3	3	1	0
817540	male	NA	1	2491	41	514	3256	971	268	40	12	152	37	19	8	5	2	155	21	8	96	22	9	6	2	1
823083	male	NA	1	2490	1	408	41545	1048	187	10	6	122	10	5	5	1	0	18	0	0	15	1	0	0	0	0
823610	NA	NA	1	2489	44	2	60	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
859841	female	NA	1	2488	16	35	175	412	6	0	2	2	0	0	0	0	0	6	0	2	2	0	0	0	0	0
864701	male	phd	1	2488	3	103	329	313	12	1	3	4	3	0	2	1	0	9	0	3	4	1	0	2	0	0
884741	NA	NA	1	2488	3	463	394	372	18	3	2	12	2	2	2	1	0	4	0	1	2	0	0	1	0	0
886081	female	NA	1	2488	1	81	2312	2418	16	3	4	9	3	0	4	1	0	8	1	2	4	2	0	2	1	0
892561	male	NA	1	2487	3	5	431	532	2	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0
899701	male	NA	1	2487	7	483	12074	1822	39	3	2	24	3	2	1	1	1	13	2	0	7	2	1	0	1	0
913841	male	NA	0	2487	3	68	242	440	2	0	1	1	1	0	0	0	1	2	0	1	1	1	0	0	0	1
985931	male	NA	1	2486	160	441	983	1834	9	1	0	4	2	0	0	1	0	9	1	0	4	2	0	0	1	0
1014471	male	NA	1	2486	37	3	96	38	28	5	1	15	3	2	1	0	0	14	0	1	11	1	0	1	0	0
1015041	male	NA	1	2486	96	158	109	1396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1015341	male	professor	1	2486	22	1226	2173	530	34	6	8	20	7	2	6	2	1	16	2	5	12	3	1	3	1	1
1031591	male	NA	1	2486	8	1961	1833	1648	16	3	0	10	4	1	0	1	0	14	3	0	8	4	1	0	1	0
1033841	male	NA	1	2486	2	758	1268	314	20	2	10	13	5	1	7	1	2	7	1	4	6	0	1	4	0	0
